SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,Product,Category,Size,Cost_per_box
SP19,G3,P02,1/29/2021,140,91,10,50% Dark Bites,Bites,LARGE,2.57
SP15,G6,P10,2/1/2021,11844,211,439,Spicy Special Slims,Bites,LARGE,5.79
SP03,G4,P01,2/1/2021,6517,54,233,Milk Bars,Bars,LARGE,1.52
SP07,G1,P01,2/1/2021,8715,24,282,Milk Bars,Bars,LARGE,1.52
SP05,G1,P16,2/1/2021,4851,455,180,Organic Choco Syrup,Other,SMALL,1.47
SP01,G2,P16,2/1/2021,10983,185,379,Organic Choco Syrup,Other,SMALL,1.47
SP21,G5,P15,2/1/2021,3290,75,329,Baker's Choco Chips,Bars,SMALL,3.4
SP11,G5,P16,2/1/2021,6545,86,212,Organic Choco Syrup,Other,SMALL,1.47
SP03,G3,P19,2/1/2021,441,7,45,70% Dark Bites,Bites,SMALL,4.97
SP14,G1,P21,2/1/2021,9849,75,580,Choco Coated Almonds,Bites,SMALL,6.17
SP09,G4,P14,2/1/2021,3073,9,308,White Choc,Other,SMALL,0.16
SP17,G2,P16,2/1/2021,4452,75,149,Organic Choco Syrup,Other,SMALL,1.47
SP12,G3,P13,2/1/2021,10220,105,538,85% Dark Bars,Bars,SMALL,0.64
SP09,G6,P19,2/1/2021,3150,11,210,70% Dark Bites,Bites,SMALL,4.97
SP07,G2,P20,2/1/2021,6083,43,381,Smooth Sliky Salty,Bars,SMALL,2.97
SP08,G6,P12,2/1/2021,14063,140,1407,Fruit & Nut Bars,Bars,LARGE,1.58
SP07,G6,P19,2/1/2021,4578,256,306,70% Dark Bites,Bites,SMALL,4.97
SP19,G1,P14,2/1/2021,6454,21,461,White Choc,Other,SMALL,0.16
SP15,G2,P18,2/2/2021,6650,166,256,Manuka Honey Choco,Other,SMALL,4.75
SP01,G1,P22,2/2/2021,2436,203,94,Peanut Butter Cubes,Bites,SMALL,3.57
SP21,G4,P21,2/2/2021,6944,33,331,Choco Coated Almonds,Bites,SMALL,6.17
SP05,G1,P11,2/2/2021,19817,126,684,After Nines,Bites,LARGE,4.43
SP01,G1,P02,2/2/2021,3521,50,235,50% Dark Bites,Bites,LARGE,2.57
SP12,G2,P11,2/2/2021,10458,546,327,After Nines,Bites,LARGE,4.43
SP24,G4,P08,2/2/2021,1302,401,57,99% Dark & Pure,Bars,LARGE,2.47
SP10,G5,P11,2/2/2021,7952,221,249,After Nines,Bites,LARGE,4.43
SP13,G5,P06,2/2/2021,4753,133,265,Eclairs,Bites,LARGE,2.24
SP11,G1,P13,2/2/2021,11452,81,546,85% Dark Bars,Bars,SMALL,0.64
SP03,G1,P10,2/2/2021,9345,124,390,Spicy Special Slims,Bites,LARGE,5.79
SP16,G1,P05,2/2/2021,7490,172,357,Mint Chip Choco,Bars,LARGE,1.54
SP25,G1,P16,2/2/2021,1519,127,57,Organic Choco Syrup,Other,SMALL,1.47
SP09,G6,P20,2/2/2021,3087,135,155,Smooth Sliky Salty,Bars,SMALL,2.97
SP06,G6,P20,2/2/2021,2352,178,168,Smooth Sliky Salty,Bars,SMALL,2.97
SP17,G3,P15,2/2/2021,11578,76,891,Baker's Choco Chips,Bars,SMALL,3.4
SP11,G2,P22,2/2/2021,462,223,22,Peanut Butter Cubes,Bites,SMALL,3.57
SP24,G1,P17,2/3/2021,6916,32,315,Caramel Stuffed Bars,Bars,SMALL,0.54
SP11,G1,P09,2/3/2021,3248,101,542,Orange Choco,Bars,LARGE,7.14
SP25,G3,P01,2/3/2021,6475,431,240,Milk Bars,Bars,LARGE,1.52
SP23,G6,P22,2/3/2021,9009,129,501,Peanut Butter Cubes,Bites,SMALL,3.57
SP17,G3,P14,2/3/2021,2835,20,189,White Choc,Other,SMALL,0.16
SP14,G1,P01,2/3/2021,7644,77,294,Milk Bars,Bars,LARGE,1.52
SP19,G6,P19,2/3/2021,3360,48,240,70% Dark Bites,Bites,SMALL,4.97
SP19,G2,P05,2/3/2021,1379,246,99,Mint Chip Choco,Bars,LARGE,1.54
SP22,G2,P16,2/3/2021,9534,229,382,Organic Choco Syrup,Other,SMALL,1.47
SP17,G2,P22,2/3/2021,14448,28,657,Peanut Butter Cubes,Bites,SMALL,3.57
SP24,G2,P15,2/3/2021,3829,432,240,Baker's Choco Chips,Bars,SMALL,3.4
SP03,G4,P09,2/4/2021,9086,206,758,Orange Choco,Bars,LARGE,7.14
SP15,G3,P01,2/4/2021,5803,299,194,Milk Bars,Bars,LARGE,1.52
SP25,G6,P18,2/4/2021,182,36,7,Manuka Honey Choco,Other,SMALL,4.75
SP18,G6,P13,2/4/2021,9863,21,520,85% Dark Bars,Bars,SMALL,0.64
SP06,G4,P09,2/4/2021,4046,80,289,Orange Choco,Bars,LARGE,7.14
SP09,G6,P12,2/4/2021,3493,140,350,Fruit & Nut Bars,Bars,LARGE,1.58
SP13,G3,P03,2/4/2021,392,89,18,Almond Choco,Bars,LARGE,9.6
SP05,G1,P10,2/4/2021,2534,19,111,Spicy Special Slims,Bites,LARGE,5.79
SP22,G6,P13,2/4/2021,7084,6,308,85% Dark Bars,Bars,SMALL,0.64
SP05,G6,P09,2/4/2021,4809,70,344,Orange Choco,Bars,LARGE,7.14
SP16,G3,P07,2/4/2021,7959,273,266,Drinking Coco,Other,LARGE,1.62
SP15,G3,P08,2/4/2021,10521,231,527,99% Dark & Pure,Bars,LARGE,2.47
SP15,G3,P12,2/4/2021,56,168,5,Fruit & Nut Bars,Bars,LARGE,1.58
SP19,G6,P15,2/4/2021,3017,103,189,Baker's Choco Chips,Bars,SMALL,3.4
SP12,G1,P09,2/4/2021,18949,300,2707,Orange Choco,Bars,LARGE,7.14
SP24,G6,P01,2/4/2021,8764,69,338,Milk Bars,Bars,LARGE,1.52
SP14,G1,P04,2/4/2021,12201,103,643,Raspberry Choco,Bars,LARGE,4.09
SP20,G2,P10,2/4/2021,11935,189,460,Spicy Special Slims,Bites,LARGE,5.79
SP01,G2,P20,2/4/2021,3724,322,266,Smooth Sliky Salty,Bars,SMALL,2.97
SP23,G3,P06,2/4/2021,2646,70,166,Eclairs,Bites,LARGE,2.24
SP03,G1,P14,2/4/2021,686,18,46,White Choc,Other,SMALL,0.16
SP12,G5,P20,2/4/2021,2037,272,128,Smooth Sliky Salty,Bars,SMALL,2.97
SP23,G1,P21,2/4/2021,6300,208,300,Choco Coated Almonds,Bites,SMALL,6.17
SP11,G3,P22,2/4/2021,2541,14,111,Peanut Butter Cubes,Bites,SMALL,3.57
SP04,G1,P04,2/4/2021,1883,97,118,Raspberry Choco,Bars,LARGE,4.09
SP08,G1,P10,2/4/2021,10255,180,446,Spicy Special Slims,Bites,LARGE,5.79
SP22,G6,P11,2/5/2021,5803,98,233,After Nines,Bites,LARGE,4.43
SP09,G1,P02,2/5/2021,8260,239,1033,50% Dark Bites,Bites,LARGE,2.57
SP24,G1,P15,2/5/2021,14868,5,1859,Baker's Choco Chips,Bars,SMALL,3.4
SP03,G2,P06,2/5/2021,4137,10,276,Eclairs,Bites,LARGE,2.24
SP10,G6,P11,2/5/2021,7161,480,276,After Nines,Bites,LARGE,4.43
SP24,G2,P07,2/5/2021,9625,149,332,Drinking Coco,Other,LARGE,1.62
SP19,G3,P16,2/5/2021,12852,296,429,Organic Choco Syrup,Other,SMALL,1.47
SP18,G3,P06,2/5/2021,7546,365,581,Eclairs,Bites,LARGE,2.24
SP19,G2,P06,2/5/2021,4123,104,275,Eclairs,Bites,LARGE,2.24
SP21,G1,P16,2/5/2021,13174,78,573,Organic Choco Syrup,Other,SMALL,1.47
SP17,G2,P02,2/5/2021,7637,161,546,50% Dark Bites,Bites,LARGE,2.57
SP18,G2,P15,2/5/2021,3311,128,332,Baker's Choco Chips,Bars,SMALL,3.4
SP21,G1,P04,2/5/2021,2338,52,107,Raspberry Choco,Bars,LARGE,4.09
SP06,G1,P17,2/8/2021,3465,228,139,Caramel Stuffed Bars,Bars,SMALL,0.54
SP17,G5,P22,2/8/2021,2345,435,107,Peanut Butter Cubes,Bites,SMALL,3.57
SP18,G3,P16,2/8/2021,12698,53,471,Organic Choco Syrup,Other,SMALL,1.47
SP01,G4,P13,2/8/2021,6678,24,334,85% Dark Bars,Bars,SMALL,0.64
SP12,G3,P15,2/8/2021,4851,120,324,Baker's Choco Chips,Bars,SMALL,3.4
SP08,G4,P07,2/8/2021,336,164,12,Drinking Coco,Other,LARGE,1.62
SP12,G3,P09,2/8/2021,2366,8,198,Orange Choco,Bars,LARGE,7.14
SP08,G2,P08,2/8/2021,10598,226,461,99% Dark & Pure,Bars,LARGE,2.47
SP01,G1,P20,2/8/2021,13293,199,665,Smooth Sliky Salty,Bars,SMALL,2.97
SP23,G5,P02,2/8/2021,2086,90,261,50% Dark Bites,Bites,LARGE,2.57
SP04,G5,P22,2/8/2021,2751,133,120,Peanut Butter Cubes,Bites,SMALL,3.57
SP02,G3,P10,2/8/2021,5481,283,275,Spicy Special Slims,Bites,LARGE,5.79
SP09,G2,P20,2/8/2021,5628,11,433,Smooth Sliky Salty,Bars,SMALL,2.97
SP22,G2,P17,2/8/2021,2660,113,89,Caramel Stuffed Bars,Bars,SMALL,0.54
SP20,G1,P03,2/9/2021,1386,157,82,Almond Choco,Bars,LARGE,9.6
SP17,G6,P01,2/9/2021,11060,175,382,Milk Bars,Bars,LARGE,1.52
SP16,G5,P21,2/9/2021,2919,147,172,Choco Coated Almonds,Bites,SMALL,6.17
SP25,G3,P08,2/9/2021,8680,334,457,99% Dark & Pure,Bars,LARGE,2.47
SP09,G2,P10,2/9/2021,1484,362,71,Spicy Special Slims,Bites,LARGE,5.79
SP17,G3,P21,2/9/2021,16919,199,996,Choco Coated Almonds,Bites,SMALL,6.17
SP21,G5,P11,2/9/2021,13188,215,440,After Nines,Bites,LARGE,4.43
SP11,G5,P04,2/9/2021,4998,182,294,Raspberry Choco,Bars,LARGE,4.09
SP14,G6,P13,2/9/2021,6146,64,342,85% Dark Bars,Bars,SMALL,0.64
SP19,G1,P01,2/9/2021,5621,162,217,Milk Bars,Bars,LARGE,1.52
SP18,G6,P05,2/9/2021,980,75,47,Mint Chip Choco,Bars,LARGE,1.54
SP13,G2,P03,2/10/2021,7343,116,350,Almond Choco,Bars,LARGE,9.6
SP01,G3,P17,2/10/2021,1750,9,63,Caramel Stuffed Bars,Bars,SMALL,0.54
SP05,G1,P06,2/10/2021,2464,90,165,Eclairs,Bites,LARGE,2.24
SP09,G2,P01,2/10/2021,1974,47,86,Milk Bars,Bars,LARGE,1.52
SP22,G5,P19,2/10/2021,11823,52,986,70% Dark Bites,Bites,SMALL,4.97
SP15,G4,P13,2/10/2021,7350,250,335,85% Dark Bars,Bars,SMALL,0.64
SP15,G3,P15,2/10/2021,4165,170,417,Baker's Choco Chips,Bars,SMALL,3.4
SP03,G1,P13,2/10/2021,630,41,28,85% Dark Bars,Bars,SMALL,0.64
SP09,G3,P15,2/10/2021,2282,238,143,Baker's Choco Chips,Bars,SMALL,3.4
SP17,G3,P12,2/10/2021,5250,37,292,Fruit & Nut Bars,Bars,LARGE,1.58
SP06,G3,P03,2/10/2021,11676,253,730,Almond Choco,Bars,LARGE,9.6
SP17,G5,P17,2/10/2021,14917,289,533,Caramel Stuffed Bars,Bars,SMALL,0.54
SP22,G3,P18,2/11/2021,4634,100,155,Manuka Honey Choco,Other,SMALL,4.75
SP05,G2,P18,2/11/2021,819,196,27,Manuka Honey Choco,Other,SMALL,4.75
SP10,G1,P07,2/11/2021,2422,60,106,Drinking Coco,Other,LARGE,1.62
SP13,G3,P18,2/11/2021,1463,158,59,Manuka Honey Choco,Other,SMALL,4.75
SP15,G3,P18,2/11/2021,1050,10,32,Manuka Honey Choco,Other,SMALL,4.75
SP20,G6,P22,2/11/2021,1526,527,85,Peanut Butter Cubes,Bites,SMALL,3.57
SP03,G4,P02,2/11/2021,427,163,27,50% Dark Bites,Bites,LARGE,2.57
SP06,G2,P10,2/11/2021,10976,132,440,Spicy Special Slims,Bites,LARGE,5.79
SP04,G4,P05,2/12/2021,6503,299,407,Mint Chip Choco,Bars,LARGE,1.54
SP13,G6,P08,2/12/2021,21,300,1,99% Dark & Pure,Bars,LARGE,2.47
SP05,G6,P06,2/12/2021,7063,13,393,Eclairs,Bites,LARGE,2.24
SP24,G3,P22,2/12/2021,3990,50,200,Peanut Butter Cubes,Bites,SMALL,3.57
SP14,G4,P19,2/12/2021,1806,184,129,70% Dark Bites,Bites,SMALL,4.97
SP16,G1,P14,2/12/2021,10136,115,597,White Choc,Other,SMALL,0.16
SP12,G6,P03,2/12/2021,1288,119,62,Almond Choco,Bars,LARGE,9.6
SP20,G3,P14,2/12/2021,1295,107,87,White Choc,Other,SMALL,0.16
SP09,G2,P19,2/12/2021,6461,288,718,70% Dark Bites,Bites,SMALL,4.97
SP22,G4,P18,2/12/2021,4949,31,155,Manuka Honey Choco,Other,SMALL,4.75
SP18,G4,P12,2/12/2021,5432,39,302,Fruit & Nut Bars,Bars,LARGE,1.58
SP15,G3,P17,2/12/2021,7112,55,246,Caramel Stuffed Bars,Bars,SMALL,0.54
SP12,G6,P22,2/12/2021,266,112,11,Peanut Butter Cubes,Bites,SMALL,3.57
SP05,G2,P02,2/12/2021,6202,44,414,50% Dark Bites,Bites,LARGE,2.57
SP22,G4,P11,2/15/2021,1057,288,43,After Nines,Bites,LARGE,4.43
SP15,G6,P07,2/15/2021,1925,460,67,Drinking Coco,Other,LARGE,1.62
SP04,G1,P13,2/15/2021,1841,185,77,85% Dark Bars,Bars,SMALL,0.64
SP07,G3,P10,2/15/2021,1204,5,61,Spicy Special Slims,Bites,LARGE,5.79
SP04,G4,P13,2/15/2021,4074,146,186,85% Dark Bars,Bars,SMALL,0.64
SP16,G2,P18,2/15/2021,4473,39,150,Manuka Honey Choco,Other,SMALL,4.75
SP16,G6,P15,2/15/2021,2947,210,246,Baker's Choco Chips,Bars,SMALL,3.4
SP23,G2,P16,2/15/2021,15386,59,642,Organic Choco Syrup,Other,SMALL,1.47
SP04,G6,P01,2/15/2021,4690,229,188,Milk Bars,Bars,LARGE,1.52
SP24,G2,P14,2/15/2021,343,158,39,White Choc,Other,SMALL,0.16
SP14,G3,P05,2/15/2021,3052,393,146,Mint Chip Choco,Bars,LARGE,1.54
SP19,G5,P18,2/15/2021,686,187,25,Manuka Honey Choco,Other,SMALL,4.75
SP04,G3,P14,2/15/2021,6993,133,538,White Choc,Other,SMALL,0.16
SP21,G6,P01,2/16/2021,5236,170,169,Milk Bars,Bars,LARGE,1.52
SP06,G1,P10,2/16/2021,8638,212,333,Spicy Special Slims,Bites,LARGE,5.79
SP07,G4,P18,2/16/2021,5712,288,191,Manuka Honey Choco,Other,SMALL,4.75
SP03,G2,P05,2/16/2021,6258,334,330,Mint Chip Choco,Bars,LARGE,1.54
SP04,G2,P19,2/16/2021,3234,90,294,70% Dark Bites,Bites,SMALL,4.97
SP15,G1,P16,2/16/2021,17577,32,677,Organic Choco Syrup,Other,SMALL,1.47
SP11,G2,P06,2/16/2021,12684,217,668,Eclairs,Bites,LARGE,2.24
SP05,G1,P08,2/16/2021,1239,29,54,99% Dark & Pure,Bars,LARGE,2.47
SP15,G6,P02,2/16/2021,3402,55,243,50% Dark Bites,Bites,LARGE,2.57
SP12,G1,P21,2/16/2021,11382,432,633,Choco Coated Almonds,Bites,SMALL,6.17
SP18,G1,P01,2/16/2021,7133,212,265,Milk Bars,Bars,LARGE,1.52
SP22,G1,P01,2/17/2021,8309,171,333,Milk Bars,Bars,LARGE,1.52
SP23,G4,P12,2/17/2021,1435,3,131,Fruit & Nut Bars,Bars,LARGE,1.58
SP02,G3,P06,2/17/2021,3227,126,216,Eclairs,Bites,LARGE,2.24
SP25,G4,P07,2/17/2021,133,195,6,Drinking Coco,Other,LARGE,1.62
SP05,G5,P08,2/17/2021,5446,425,273,99% Dark & Pure,Bars,LARGE,2.47
SP12,G1,P08,2/17/2021,4424,91,261,99% Dark & Pure,Bars,LARGE,2.47
SP22,G6,P01,2/17/2021,1827,168,80,Milk Bars,Bars,LARGE,1.52
SP04,G4,P18,2/17/2021,8232,264,305,Manuka Honey Choco,Other,SMALL,4.75
SP07,G5,P02,2/17/2021,861,262,62,50% Dark Bites,Bites,LARGE,2.57
SP01,G4,P19,2/17/2021,8099,178,675,70% Dark Bites,Bites,SMALL,4.97
SP17,G5,P20,2/17/2021,5894,592,281,Smooth Sliky Salty,Bars,SMALL,2.97
SP25,G2,P11,2/17/2021,8211,601,257,After Nines,Bites,LARGE,4.43
SP07,G1,P11,2/17/2021,10360,206,415,After Nines,Bites,LARGE,4.43
SP14,G6,P01,2/17/2021,5145,98,166,Milk Bars,Bars,LARGE,1.52
SP08,G6,P02,2/17/2021,9163,235,1146,50% Dark Bites,Bites,LARGE,2.57
SP17,G1,P14,2/17/2021,15323,33,1393,White Choc,Other,SMALL,0.16
SP16,G3,P09,2/17/2021,7994,177,1000,Orange Choco,Bars,LARGE,7.14
SP13,G3,P21,2/17/2021,6363,87,455,Choco Coated Almonds,Bites,SMALL,6.17
SP20,G4,P22,2/17/2021,3262,185,172,Peanut Butter Cubes,Bites,SMALL,3.57
SP05,G5,P07,2/17/2021,2793,93,127,Drinking Coco,Other,LARGE,1.62
SP17,G1,P16,2/18/2021,8491,338,340,Organic Choco Syrup,Other,SMALL,1.47
SP02,G5,P17,2/18/2021,13685,39,571,Caramel Stuffed Bars,Bars,SMALL,0.54
SP21,G3,P14,2/18/2021,770,137,52,White Choc,Other,SMALL,0.16
SP25,G3,P02,2/18/2021,8631,399,1079,50% Dark Bites,Bites,LARGE,2.57
SP22,G4,P12,2/18/2021,4536,120,267,Fruit & Nut Bars,Bars,LARGE,1.58
SP17,G6,P08,2/18/2021,14497,21,605,99% Dark & Pure,Bars,LARGE,2.47
SP17,G5,P21,2/18/2021,7672,112,452,Choco Coated Almonds,Bites,SMALL,6.17
SP03,G5,P08,2/18/2021,10878,329,573,99% Dark & Pure,Bars,LARGE,2.47
SP02,G5,P02,2/18/2021,12572,94,1397,50% Dark Bites,Bites,LARGE,2.57
SP19,G5,P02,2/18/2021,1575,90,105,50% Dark Bites,Bites,LARGE,2.57
SP02,G3,P18,2/18/2021,5453,260,166,Manuka Honey Choco,Other,SMALL,4.75
SP19,G4,P18,2/18/2021,4802,84,155,Manuka Honey Choco,Other,SMALL,4.75
SP16,G1,P06,2/19/2021,7651,325,426,Eclairs,Bites,LARGE,2.24
SP18,G1,P09,2/19/2021,2079,527,260,Orange Choco,Bars,LARGE,7.14
SP02,G4,P10,2/19/2021,2100,62,81,Spicy Special Slims,Bites,LARGE,5.79
SP25,G5,P20,2/19/2021,5278,242,406,Smooth Sliky Salty,Bars,SMALL,2.97
SP01,G2,P10,2/19/2021,4249,19,164,Spicy Special Slims,Bites,LARGE,5.79
SP12,G2,P05,2/19/2021,3976,9,210,Mint Chip Choco,Bars,LARGE,1.54
SP20,G2,P11,2/19/2021,6951,183,218,After Nines,Bites,LARGE,4.43
SP25,G6,P10,2/19/2021,616,161,25,Spicy Special Slims,Bites,LARGE,5.79
SP09,G6,P13,2/19/2021,5439,115,287,85% Dark Bars,Bars,SMALL,0.64
SP10,G1,P02,2/19/2021,63,206,7,50% Dark Bites,Bites,LARGE,2.57
SP10,G3,P15,2/19/2021,1533,115,110,Baker's Choco Chips,Bars,SMALL,3.4
SP20,G2,P19,2/19/2021,3535,337,322,70% Dark Bites,Bites,SMALL,4.97
SP13,G3,P10,2/19/2021,2429,4,111,Spicy Special Slims,Bites,LARGE,5.79
SP03,G1,P04,2/19/2021,7119,144,356,Raspberry Choco,Bars,LARGE,4.09
SP02,G4,P07,2/19/2021,3521,304,118,Drinking Coco,Other,LARGE,1.62
SP08,G2,P11,2/19/2021,3745,177,118,After Nines,Bites,LARGE,4.43
SP16,G5,P14,2/19/2021,4816,100,301,White Choc,Other,SMALL,0.16
SP02,G6,P15,2/19/2021,1736,72,193,Baker's Choco Chips,Bars,SMALL,3.4
SP17,G5,P19,2/19/2021,1099,139,92,70% Dark Bites,Bites,SMALL,4.97
SP14,G6,P11,2/19/2021,6692,165,231,After Nines,Bites,LARGE,4.43
SP02,G5,P15,2/22/2021,364,177,31,Baker's Choco Chips,Bars,SMALL,3.4
SP08,G3,P13,2/22/2021,10927,202,476,85% Dark Bars,Bars,SMALL,0.64
SP12,G4,P13,2/22/2021,11410,103,476,85% Dark Bars,Bars,SMALL,0.64
SP24,G1,P16,2/22/2021,2443,337,82,Organic Choco Syrup,Other,SMALL,1.47
SP14,G3,P14,2/22/2021,329,257,26,White Choc,Other,SMALL,0.16
SP04,G4,P07,2/22/2021,3066,144,128,Drinking Coco,Other,LARGE,1.62
SP19,G4,P15,2/22/2021,567,243,38,Baker's Choco Chips,Bars,SMALL,3.4
SP14,G4,P20,2/22/2021,14721,257,1052,Smooth Sliky Salty,Bars,SMALL,2.97
SP09,G4,P21,2/22/2021,6986,11,350,Choco Coated Almonds,Bites,SMALL,6.17
SP06,G2,P13,2/22/2021,14112,158,784,85% Dark Bars,Bars,SMALL,0.64
SP08,G6,P20,2/22/2021,1771,605,137,Smooth Sliky Salty,Bars,SMALL,2.97
SP15,G5,P22,2/22/2021,5082,164,231,Peanut Butter Cubes,Bites,SMALL,3.57
SP12,G3,P03,2/22/2021,1827,48,102,Almond Choco,Bars,LARGE,9.6
SP18,G1,P07,2/22/2021,182,85,7,Drinking Coco,Other,LARGE,1.62
SP08,G4,P21,2/22/2021,5369,136,269,Choco Coated Almonds,Bites,SMALL,6.17
SP06,G2,P07,2/22/2021,6034,169,275,Drinking Coco,Other,LARGE,1.62
SP09,G3,P05,2/22/2021,13209,204,881,Mint Chip Choco,Bars,LARGE,1.54
SP12,G5,P17,2/22/2021,847,263,30,Caramel Stuffed Bars,Bars,SMALL,0.54
SP22,G3,P02,2/22/2021,1015,66,64,50% Dark Bites,Bites,LARGE,2.57
SP14,G3,P02,2/23/2021,16247,215,2031,50% Dark Bites,Bites,LARGE,2.57
SP21,G3,P15,2/23/2021,2422,41,303,Baker's Choco Chips,Bars,SMALL,3.4
SP10,G3,P22,2/23/2021,3997,333,174,Peanut Butter Cubes,Bites,SMALL,3.57
SP24,G2,P03,2/23/2021,7182,125,479,Almond Choco,Bars,LARGE,9.6
SP21,G1,P05,2/23/2021,1246,163,70,Mint Chip Choco,Bars,LARGE,1.54
SP24,G6,P06,2/23/2021,553,50,27,Eclairs,Bites,LARGE,2.24
SP23,G2,P12,2/23/2021,2681,206,207,Fruit & Nut Bars,Bars,LARGE,1.58
SP20,G5,P15,2/23/2021,2800,78,234,Baker's Choco Chips,Bars,SMALL,3.4
SP23,G6,P04,2/23/2021,4851,160,304,Raspberry Choco,Bars,LARGE,4.09
SP05,G3,P17,2/23/2021,168,3,6,Caramel Stuffed Bars,Bars,SMALL,0.54
SP11,G5,P12,2/23/2021,315,5,21,Fruit & Nut Bars,Bars,LARGE,1.58
SP04,G3,P06,2/23/2021,11851,58,741,Eclairs,Bites,LARGE,2.24
SP14,G4,P07,2/23/2021,3220,261,147,Drinking Coco,Other,LARGE,1.62
SP05,G6,P19,2/23/2021,11935,307,1194,70% Dark Bites,Bites,SMALL,4.97
SP03,G3,P22,2/23/2021,12404,186,478,Peanut Butter Cubes,Bites,SMALL,3.57
SP22,G5,P12,2/24/2021,1519,132,90,Fruit & Nut Bars,Bars,LARGE,1.58
SP22,G1,P17,2/24/2021,10934,182,476,Caramel Stuffed Bars,Bars,SMALL,0.54
SP25,G6,P22,2/24/2021,3346,179,129,Peanut Butter Cubes,Bites,SMALL,3.57
SP24,G3,P10,2/24/2021,8351,36,398,Spicy Special Slims,Bites,LARGE,5.79
SP12,G6,P14,2/24/2021,11718,76,733,White Choc,Other,SMALL,0.16
SP17,G3,P10,2/24/2021,2681,115,117,Spicy Special Slims,Bites,LARGE,5.79
SP22,G1,P02,2/24/2021,6188,292,563,50% Dark Bites,Bites,LARGE,2.57
SP11,G5,P08,2/24/2021,10941,182,521,99% Dark & Pure,Bars,LARGE,2.47
SP11,G3,P01,2/24/2021,3647,220,141,Milk Bars,Bars,LARGE,1.52
SP23,G3,P22,2/25/2021,2436,130,122,Peanut Butter Cubes,Bites,SMALL,3.57
SP11,G3,P17,2/25/2021,896,346,41,Caramel Stuffed Bars,Bars,SMALL,0.54
SP04,G2,P17,2/25/2021,3808,17,174,Caramel Stuffed Bars,Bars,SMALL,0.54
SP04,G3,P05,2/25/2021,10920,278,683,Mint Chip Choco,Bars,LARGE,1.54
SP13,G4,P12,2/25/2021,4186,75,299,Fruit & Nut Bars,Bars,LARGE,1.58
SP24,G3,P13,2/25/2021,6797,72,309,85% Dark Bars,Bars,SMALL,0.64
SP24,G5,P10,2/25/2021,4319,56,155,Spicy Special Slims,Bites,LARGE,5.79
SP16,G3,P20,2/25/2021,1673,99,105,Smooth Sliky Salty,Bars,SMALL,2.97
SP20,G4,P03,2/25/2021,735,84,35,Almond Choco,Bars,LARGE,9.6
SP20,G5,P11,2/25/2021,2632,39,106,After Nines,Bites,LARGE,4.43
SP04,G4,P09,2/25/2021,2030,68,170,Orange Choco,Bars,LARGE,7.14
SP03,G2,P18,2/25/2021,1169,265,47,Manuka Honey Choco,Other,SMALL,4.75
SP09,G4,P05,2/25/2021,3703,54,206,Mint Chip Choco,Bars,LARGE,1.54
SP01,G6,P14,2/25/2021,805,48,54,White Choc,Other,SMALL,0.16
SP23,G6,P20,2/25/2021,406,260,21,Smooth Sliky Salty,Bars,SMALL,2.97
SP20,G5,P09,2/25/2021,3591,73,360,Orange Choco,Bars,LARGE,7.14
SP20,G6,P14,2/25/2021,5551,210,463,White Choc,Other,SMALL,0.16
SP24,G5,P14,2/25/2021,3605,347,258,White Choc,Other,SMALL,0.16
SP09,G3,P03,2/25/2021,6356,38,374,Almond Choco,Bars,LARGE,9.6
SP24,G5,P19,2/25/2021,602,238,41,70% Dark Bites,Bites,SMALL,4.97
SP23,G1,P14,2/26/2021,7042,142,470,White Choc,Other,SMALL,0.16
SP22,G5,P03,2/26/2021,2968,215,142,Almond Choco,Bars,LARGE,9.6
SP10,G1,P22,2/26/2021,294,80,17,Peanut Butter Cubes,Bites,SMALL,3.57
SP05,G4,P11,2/26/2021,6363,68,213,After Nines,Bites,LARGE,4.43
SP09,G2,P12,2/26/2021,280,220,18,Fruit & Nut Bars,Bars,LARGE,1.58
SP11,G3,P21,2/26/2021,406,22,29,Choco Coated Almonds,Bites,SMALL,6.17
SP18,G4,P07,2/26/2021,4144,374,139,Drinking Coco,Other,LARGE,1.62
SP08,G4,P01,2/26/2021,5341,179,173,Milk Bars,Bars,LARGE,1.52
SP17,G5,P12,2/26/2021,2947,103,197,Fruit & Nut Bars,Bars,LARGE,1.58
SP02,G4,P19,2/26/2021,12026,166,926,70% Dark Bites,Bites,SMALL,4.97
SP10,G4,P20,2/26/2021,3983,237,307,Smooth Sliky Salty,Bars,SMALL,2.97
SP04,G1,P14,2/26/2021,1792,283,163,White Choc,Other,SMALL,0.16
SP01,G6,P01,2/26/2021,1526,150,67,Milk Bars,Bars,LARGE,1.52
SP20,G2,P16,2/26/2021,5313,70,190,Organic Choco Syrup,Other,SMALL,1.47
SP08,G6,P11,2/26/2021,7728,48,242,After Nines,Bites,LARGE,4.43
SP16,G3,P13,2/26/2021,413,414,22,85% Dark Bars,Bars,SMALL,0.64
SP21,G1,P14,2/26/2021,4431,13,493,White Choc,Other,SMALL,0.16
SP03,G2,P12,2/26/2021,1036,240,58,Fruit & Nut Bars,Bars,LARGE,1.58
SP21,G2,P09,2/26/2021,217,147,25,Orange Choco,Bars,LARGE,7.14
SP15,G1,P19,2/26/2021,7616,16,693,70% Dark Bites,Bites,SMALL,4.97
